c_000000000001	NC_009925.1 Acaryochloris marina MBIC11017, complete sequence
c_000000000002	NC_009926.1 Acaryochloris marina MBIC11017 plasmid pREB1, complete sequence
c_000000000003	NC_009927.1 Acaryochloris marina MBIC11017 plasmid pREB2, complete sequence
c_000000000004	NC_009928.1 Acaryochloris marina MBIC11017 plasmid pREB3, complete sequence
c_000000000005	NC_009929.1 Acaryochloris marina MBIC11017 plasmid pREB4, complete sequence
c_000000000006	NC_009930.1 Acaryochloris marina MBIC11017 plasmid pREB5, complete sequence
c_000000000007	NC_009931.1 Acaryochloris marina MBIC11017 plasmid pREB6, complete sequence
c_000000000008	NC_009932.1 Acaryochloris marina MBIC11017 plasmid pREB7, complete sequence
c_000000000009	NC_009933.1 Acaryochloris marina MBIC11017 plasmid pREB8, complete sequence
c_000000000010	NC_009934.1 Acaryochloris marina MBIC11017 plasmid pREB9, complete sequence
